der	der	die			Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"					"der	die
und	und
er	Er
Tür	Tür
öffnen	öffnet
hineingehen	geht hinein"	"Er öffnet die Tür und geht hinein.
"																																									1							1
und	und	und			Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"					"der	die
und	und
er	Er
Tür	Tür
öffnen	öffnet
hineingehen	geht hinein"	"Er öffnet die Tür und geht hinein.
"																																									1							1
es	es	Es			Das Auto fährt schnell.	Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"				"der	die
es	Es
dann	dann
Haus	Haus
neben	neben
parken	parkt"	Es parkt dann neben dem Haus.																																									1							1
er	er	Er			Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"					"der	die
und	und
er	Er
Tür	Tür
öffnen	öffnet
hineingehen	geht hinein"	"Er öffnet die Tür und geht hinein.
"																																									1							1
dann	dann	dann			Das Auto fährt schnell.	Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"				"der	die
es	Es
dann	dann
Haus	Haus
neben	neben
parken	parkt"	Es parkt dann neben dem Haus.																																									1							1
Haus	Haus	Haus			Das Auto fährt schnell.	Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"				"der	die
es	Es
dann	dann
Haus	Haus
neben	neben
parken	parkt"	Es parkt dann neben dem Haus.																																									1							1
schnell	schnell	schnell				Das Auto fährt schnell.	Es parkt dann neben dem Haus.				"der	die
schnell	schnell
Auto	Auto
fahren	fährt"	Das Auto fährt schnell.																																									1							1
Auto	Auto	Auto				Das Auto fährt schnell.	Es parkt dann neben dem Haus.				"der	die
schnell	schnell
Auto	Auto
fahren	fährt"	Das Auto fährt schnell.																																									1							1
Tür	Tür	Tür			Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"					"der	die
und	und
er	Er
Tür	Tür
öffnen	öffnet
hineingehen	geht hinein"	"Er öffnet die Tür und geht hinein.
"																																									1							1
fahren	fahren	fährt				Das Auto fährt schnell.	Es parkt dann neben dem Haus.				"der	die
schnell	schnell
Auto	Auto
fahren	fährt"	Das Auto fährt schnell.																																									1							1
neben	neben	neben			Das Auto fährt schnell.	Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"				"der	die
es	Es
dann	dann
Haus	Haus
neben	neben
parken	parkt"	Es parkt dann neben dem Haus.																																									1							1
öffnen	öffnen	öffnet			Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"					"der	die
und	und
er	Er
Tür	Tür
öffnen	öffnet
hineingehen	geht hinein"	"Er öffnet die Tür und geht hinein.
"																																									1							1
parken	parken	parkt			Das Auto fährt schnell.	Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"				"der	die
es	Es
dann	dann
Haus	Haus
neben	neben
parken	parkt"	Es parkt dann neben dem Haus.																																									1							1
hineingehen	hineingehen	geht hinein			Es parkt dann neben dem Haus.	"Er öffnet die Tür und geht hinein.
"					"der	die
und	und
er	Er
Tür	Tür
öffnen	öffnet
hineingehen	geht hinein"	"Er öffnet die Tür und geht hinein.
"																																									1							1
