z. B.	zum	Beispiel
d. h.	das	heißt
u. a.	unter	anderem
i. d. R.	in	der	Regel
z. T.	zum	Teil
o. ä.	oder	ähnliches
m. E.	meines	Erachtens
s. u.	siehe	unten
s. o.	siehe	oben
v. a.	vor	allem
bzw.	beziehungsweise
ca.	circa
usw.	und	so	weiter
vgl.	vergleiche
s.	siehe
bspw.	beispielsweise
inkl.	inklusive
exkl.	exklusive
bzgl.	bezüglich
lt.	laut
gem.	gemäß
ggf.	gegebenenfalls
evtl.	eventuell
Abs.	Absatz
Art.	Artikel
Kap.	Kapitel
S.	Seite
Abb.	Abbildung
Tab.	Tabelle
Doku	Dokumentation
Admin	Administrator
BS	Betriebssystem
Konfig	Konfiguration
Param	Parameter
Repo	Repository
App	Applikation
vlg	viele	lieben	Grüße
lg	liebe	Grüße
ka	keine	Ahnung
kp	kein	Plan
wzf	was	zum	Fick
omg	oh	mein	Gott
