	Algorithmen	Algorithmus	
	Audiodaten	Audiodaten	
	Aussageformen	Aussageform	
	Austernbanken	Austernbanke	
	Bilddaten	Bilddaten	
	Bytes	Byte	
	Donaudampfschifffahrtsgesellschaftskapitäne	Donaudampfschifffahrtsgesellschaftskapitän	
	Donaudampfschifffahrtsgesellschaftskapitänes	Donaudampfschifffahrtsgesellschaftskapitän	
	Donaudampfschifffahrtsgesellschaftskapitäns	Donaudampfschifffahrtsgesellschaftskapitän	
	Dritte	Dritte	
	Englischen	Englisch	
	gefallen	gefallen	Ihnen
	Ihr	Ihr	regex:(?<!^)Ihr
	Ihre	Ihr	
	Ihrer	Ihr	
	Materialien	Material	
	Mathematische	mathematisch		
	Serviceseiten	Serviceseite	
	Sie	Sie	regex:(?<!^)Sie
	Substantive	Substantiv	
	Substantiven	Substantiv	
	Übungsaufgaben	Übungsaufgabe	
	Windows	Windows	
aller		all	
Betriebs		Betrieb	
Date	Audiodaten	Daten
Date	Bilddaten	Daten	
digitale		digital	
Eingabegerat		Eingabegeräte	
Geräte		Gerät	
IP-Adressen		IP-Adresse	
IP-Netzwerken		IP-Netzwerk	
Netzwerke		Netzwerk	
Netzwerkkarten		Netzwerkkarte	
Netzzugangsverfahr		Netzzugangsverfahren	
PC-Betriebssysteme		PC-Betriebssystem	
Simulationen		Simulation	
Soundhardwar		Soundhardware	
Stan		Standard	
Systembefehle		Systembefehl	
Systeme		System	
Transportprotokolle		Transportprotokoll	
vieler		viel	
Zugangs		Zugang	
zusammengesetzte		zusammengesetzt	
Zusammengesetzte		zusammengesetzt	
